,project,dependencyProblems,nonDependencyProblems,cranDependencies,nonCranDependencies,createdAtMillis,descriptionChurn,sourceContributors,issueContributors,PRContributors,forksCount,watchersCount,starsCount,isCRAN,sourceLOC,soureceFiles,commentsCount,downstreamProjects,upstreamContributions,upstreamContributionsFraction,upstreamIssueContributions,upstreamIssueContributionsFraction,upstreamAllContributions,upstreamAllContributionsFraction,uniqueUsersAll,averageUpstreamVersion,averageUpstreamReleases,averageUpstreamAge
5,gjkerns_ipsur,2,34,21,3,1301951490000,4,1,5,6,49,76,76,True,2432,43,702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.7333333333333334,1.5606351287395996,3150.666666666666
9,jeroenooms_opencpu.demo-legacy,0,5,9,0,1327176644000,8,3,1,4,5,13,13,False,320,9,203,0.0,0.0,0.0,1.0,0.0625,1.0,0.0625,4,1.8333333333333333,2.1862954899630784,3259.5
10,christophsax_tempdisagg,0,23,0,0,1370690436000,24,2,7,7,2,8,8,True,707,8,719,6.0,,,,,,,7,,,
13,mbannert_gateveys,0,1,5,1,1358949263000,2,1,2,2,0,0,0,False,556,21,516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.2,2.4257670569688234,2816.4
14,fvafrcu_documentation,1,0,5,3,1425474940000,18,2,0,1,1,0,0,False,1201,14,812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.75,4.117226800026179,1140.25
18,kevin-m-smith_nwisnfie,0,22,16,1,1420506920000,1,1,1,1,0,0,0,False,2077,23,367,2.0,2.0,0.25,3.0,0.375,3.0,0.375,1,2.0,2.518225918095337,2132.333333333333
22,slisovski_geolight,0,1,5,0,1407798596000,13,2,0,1,1,1,1,True,1240,2,968,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.5,3.3746568233975367,2144.0
23,nachocab_df2json,0,1,3,0,1362073223000,2,1,2,2,0,3,3,True,42,2,22,9.0,0.0,0.0,1.0,0.5,1.0,0.5,2,3.0,2.64682613091998,2372.0
34,edzer_hexbin,0,1,1,10,1407679843000,5,1,2,2,0,4,4,True,4776,22,708,311.0,,,,,,,2,2.0,3.1769825918762087,3102.0
35,mmparker_tbdiag,0,14,1,0,1303839864000,9,1,1,1,0,0,0,True,254,14,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.4620573355817874,2372.0
42,rbatt_rblib,0,1,4,0,1434753666000,5,1,1,1,0,0,0,False,162,11,313,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1,2.0,2.7388535348691057,713.5
49,petermeissner_diffr,0,8,4,0,1410453872000,20,2,1,2,0,13,13,True,534,17,195,4.0,0.0,0.0,1.0,0.25,1.0,0.25,2,1.5,1.6586841378515518,2737.0
59,machow_reltools,0,1,5,0,1408205228000,1,1,1,1,0,0,0,False,60,3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.2142781805963463,3145.0
61,thelayc_laycutils,0,3,8,0,1421875806000,8,2,1,1,0,0,0,False,243,17,218,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.625,2.4004050131145007,1445.75
66,mattflor_rriskdistributions,1,0,4,1,1431337403000,5,2,0,2,1,0,0,True,3514,2,3446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.75,2.0552249459198357,3604.0
68,sylvainforet_bpest,0,1,0,0,1402557615000,1,0,0,1,2,0,0,False,233,1,17,0.0,,,,,,,1,,,
69,sdray_ade4,0,2,13,5,1441804096000,64,5,3,3,2,2,2,True,20062,188,1394,259.0,4.0,0.16,1.0,0.06666666666666668,4.0,0.11428571428571427,3,1.8,3.412250161186332,2828.3
70,alyssafrazee_ballgown,11,64,3,10,1366254769000,74,6,30,34,20,43,43,False,1811,32,1356,11.0,0.0,0.0,2.0,0.014705882352941175,3.0,0.02205882352941177,34,2.8,3.2328568213557927,1459.5
74,52north_sos4r,12,30,17,2,1381836276000,5,2,5,6,7,3,3,True,10872,58,4359,4.0,2.0,0.2,1.0,0.03333333333333333,3.0,0.08571428571428573,6,2.0,3.9844153729825864,3141.142857142857
80,tnaake_dsmcompare,0,3,2,0,1408633837000,5,1,1,1,0,0,0,False,297,1,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,4.002150526227698,1824.5
81,gavinsimpson_coenocliner,0,23,2,1,1394926332000,27,4,3,5,5,8,8,True,535,11,770,2.0,0.0,0.0,1.0,0.1,1.0,0.1,5,2.0,3.2328568213557927,1459.5
82,hadley_tidyr,53,110,11,0,1402410273000,44,17,110,124,87,275,275,True,683,21,615,2883.0,20.0,0.14705882352941174,155.0,0.15625,157.0,0.15826612903225806,124,1.7,3.431751207443905,980.7
84,inzightvit_inzightmr,2,3,0,4,1373510859000,15,3,2,2,2,0,0,False,1748,14,298,6.0,6.0,0.6666666666666666,5.0,0.8333333333333334,6.0,0.6666666666666666,2,,,
86,petermeissner_wikipediatrend,2,22,14,3,1412709408000,93,3,7,8,1,26,26,True,633,17,502,5.0,1.0,0.027777777777777776,13.0,0.13541666666666666,13.0,0.13541666666666666,8,1.7692307692307692,2.5937262047269565,1154.8461538461538
89,krlmlr_rpart,0,1,1,3,1395955683000,74,2,1,1,0,0,0,True,1981,38,427,1731.0,,,,,,,1,3.0,1.8,5475.0
93,santandermetgroup_loader,0,1,5,4,1446643638000,16,4,0,1,3,0,0,False,2540,43,1691,0.0,7.0,0.4375,0.0,0.0,7.0,0.4375,1,5.0,1.848323662153449,3528.0
98,davharris_titlebot,2,9,4,1,1387412915000,3,4,2,4,3,9,9,False,215,8,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.5,1.2310286677908937,1848.0
100,rdpeng_filehash,1,8,0,1,1210189108000,53,4,4,7,40,13,13,True,867,9,171,60.0,,,,,,,7,,,
103,centerforassessment_toordinal,1,4,1,0,1425566365000,16,4,0,4,4,2,2,True,69,2,20,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,2.4620573355817874,2372.0
105,robjhyndman_anomalous-acm,2,1,7,0,1431390132000,3,3,3,4,11,44,44,False,353,5,53,0.0,1.0,0.1111111111111111,1.0,0.08333333333333333,2.0,0.1111111111111111,4,2.75,1.9072984363178471,3376.0
106,yutannihilation_highstockr,0,1,1,0,1424443188000,2,1,0,1,2,11,11,False,21,2,20,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,2.0018281535649,547.0
107,hadley_plyr,45,225,10,1,1227107294000,111,15,118,131,107,431,431,True,1793,87,2041,16323.0,14.0,0.2333333333333333,40.0,0.07633587786259542,52.0,0.09923664122137403,131,2.0,1.3833846442159516,2846.6
114,tarakc02_rcrunchbase,2,5,11,0,1402091464000,6,2,4,5,13,9,9,False,266,12,204,3.0,8.0,0.4,8.0,0.16,8.0,0.16,5,1.6363636363636365,2.4134366658829607,1368.3636363636365
115,daewoooo_singlecelltoolkit,0,2,6,6,1443438961000,3,3,1,2,1,0,0,False,568,9,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.333333333333333,2.8682079716859388,2305.5
116,machow_isctools,0,3,5,0,1422830500000,2,1,1,1,0,0,0,False,158,3,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,2.3712605493924066,2745.0
117,ropensci_elasticdsl,4,3,7,0,1424630994000,9,2,1,2,1,8,8,False,537,22,1165,0.0,2.0,0.2,2.0,0.2,3.0,0.3,2,2.0,3.0463266583089688,746.4285714285713
118,robertzk_super,2,6,4,0,1425168831000,4,1,1,3,1,2,2,False,72,2,74,2.0,1.0,0.25,4.0,0.3333333333333333,4.0,0.3333333333333333,3,2.0,2.474233587255708,2098.25
122,lgatto_rforproteomics,9,3,16,32,1347281435000,139,4,3,4,9,18,18,False,875,7,272,0.0,22.0,0.21153846153846154,27.0,0.25961538461538464,30.0,0.28846153846153844,4,1.8823529411764703,3.0324524732143674,1820.764705882353
123,sensitivequestions_list,0,1,11,1,1428164652000,7,3,0,1,2,0,0,True,6820,8,579,6.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,1,2.333333333333333,2.0083785927601085,2818.1111111111113
127,abarbour_psd,0,2,16,2,1326396920000,68,1,1,1,3,2,2,True,1536,37,1941,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9166666666666667,1.5530770897441493,2466.0
131,ward9250_hybridcheck,4,19,8,3,1369145563000,21,3,2,4,1,3,3,False,2878,14,221,3.0,0.0,0.0,2.0,0.07142857142857142,2.0,0.07142857142857142,4,2.0,3.517299195893908,1720.2857142857142
133,dicook_nullabor,1,2,8,0,1360262143000,22,4,1,1,1,1,1,True,335,11,447,12.0,4.0,0.2,3.0,0.6,4.0,0.2,1,2.0,1.8103296715238724,2168.0
137,kaneplusplus_bigalgebra,0,4,2,1,1416945846000,4,1,2,2,1,1,1,True,465,5,85,13.0,,,,,,,2,5.0,2.4004384362440625,2737.0
138,atlasoflivingaustralia_ala4r,2,13,11,0,1411363249000,164,6,7,9,4,7,7,False,1781,27,1000,3.0,0.0,0.0,2.0,0.031746031746031744,2.0,0.025974025974025976,9,1.6666666666666667,3.2039405751351864,2160.555555555556
145,timyates_ensemblrest,0,5,4,2,1349861290000,14,1,2,3,1,6,6,False,802,14,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.5,2.588652482269504,2935.5
146,predictiveecology_lazyr,2,6,10,0,1442978206000,60,2,2,2,0,1,1,False,631,8,773,2.0,3.0,0.21428571428571427,3.0,0.21428571428571427,3.0,0.21428571428571427,2,1.8888888888888888,5.5866688405513125,1533.4444444444446
147,sckott_extractr,4,10,7,1,1411242409000,10,1,3,3,1,7,7,False,295,9,248,0.0,0.0,0.0,2.0,0.16666666666666666,2.0,0.16666666666666666,3,1.8,2.9067003801097986,2013.4
148,ignaciomsarmiento_ioanalysis,0,6,3,0,1414071567000,10,2,0,1,3,0,0,False,339,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.7876603844769678,2737.0
150,flor3652_mystuff,0,3,0,0,1417141280000,5,2,2,3,1,0,0,False,142,7,172,0.0,,,,,,,3,,,
156,rcheng_qtlrel,1,0,3,0,1317590189000,10,1,0,1,2,3,3,True,4327,17,363,17.0,1.0,1.0,0.0,0.0,1.0,1.0,1,2.0,2.736320653341929,3893.0
157,ropensci_brranching,4,8,4,0,1422894715000,15,1,1,1,0,6,6,True,317,10,208,0.0,1.0,0.25,3.0,0.75,3.0,0.75,1,2.25,3.763541132984826,2007.0
159,sidjai_matconv,0,1,2,1,1434483388000,14,1,0,1,0,0,0,True,733,8,146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.2328568213557927,1459.5
162,decisionpatterns_formula.tools,1,4,3,2,1394391845000,19,1,2,2,0,2,2,True,313,18,710,17.0,1.0,0.3333333333333333,3.0,0.5,4.0,0.6666666666666666,2,2.0,1.5038238845322986,1759.666666666667
165,cbogart_scimapclient,0,2,2,2,1409688133000,9,1,1,1,1,3,3,False,247,1,272,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.4620573355817874,2372.0
167,kkdey_countclust,2,5,5,2,1441390942000,41,3,2,3,2,1,1,False,551,12,628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.6666666666666667,4.865013688122424,911.5
173,ropensci_finch,5,5,6,4,1421191524000,14,1,2,2,0,7,7,False,196,7,140,0.0,0.0,0.0,2.0,0.3333333333333333,2.0,0.3333333333333333,2,1.8,3.092900928513708,1940.4
174,abresler_nbastatr,1,1,11,0,1444251659000,14,1,3,3,6,27,27,False,27613,44,366,0.0,0.0,0.0,2.0,0.07407407407407407,2.0,0.07407407407407407,3,1.4545454545454546,2.738158998538781,1203.4545454545455
176,thl-mjv_euromomo,1,4,3,1,1412679422000,9,8,1,1,2,2,2,False,978,18,633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0548520075716805,2737.0
177,hrdag_dga,0,3,3,0,1402504809000,3,2,2,2,2,0,0,True,374,3,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.5,1.7061573178594456,3102.0
178,bwlewis_doredis,23,10,3,3,1272387586000,27,7,16,19,13,48,48,True,557,3,436,28.0,2.0,0.2857142857142857,3.0,0.15789473684210525,4.0,0.19047619047619047,19,2.0,1.454907822620827,2007.0
181,luca-scr_ga,1,0,5,6,1438964181000,2,1,0,2,1,1,1,True,967,6,220,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.75,4.001828153564899,1003.5
182,sinhrks_ggfortify,54,51,29,4,1412478386000,69,3,10,11,26,176,176,True,2327,20,1275,23.0,2.0,0.04444444444444445,9.0,0.054545454545454536,10.0,0.060606060606060615,11,2.3043478260869565,3.082684716200906,2442.0
186,tmuetze_bioconductor_rcy3_the_new_rcytoscape,13,9,5,3,1425684541000,80,5,5,7,4,8,8,False,3872,3,5118,0.0,1.0,0.06666666666666668,2.0,0.09523809523809523,2.0,0.08333333333333333,7,2.0,1.4862176977290524,3376.0
188,ropensci_opencontext,0,4,5,0,1427209579000,5,2,3,3,2,12,12,False,76,4,177,1.0,0.0,0.0,3.0,0.25,5.0,0.3125,3,1.6,2.8752714895352183,1058.0
189,hofnerb_stabs,2,7,6,6,1417180302000,8,1,3,3,0,4,4,True,718,5,187,6.0,,,,,,,3,2.25,2.149637026321344,2372.0
190,gleon_lakemetabolizer,5,109,3,0,1378910138000,65,8,11,11,6,5,5,True,2114,33,2022,9.0,3.0,0.1875,6.0,0.2727272727272727,6.0,0.25,11,2.0,,2769.0
193,poisotlab_lpbrim,1,2,4,0,1312555604000,4,2,2,2,2,4,4,True,298,5,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,,2769.0
194,mlammens_demgsa,0,8,5,0,1419913003000,6,2,1,2,3,0,0,False,1588,14,1744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.4,2.5849952818836512,2372.0
197,ropensci_gitr,2,13,4,1,1372304784000,7,2,4,4,0,1,1,False,556,27,563,0.0,1.0,0.125,5.0,0.3125,6.0,0.3,4,1.8,2.261027398001446,2361.6
201,nalimilan_logmult,0,1,5,5,1408362095000,20,1,0,2,2,0,0,True,4916,22,551,2.0,,,,,,,2,2.0,1.382127659574468,3576.6
202,jeroenooms_rprotobufutils,1,0,1,0,1349725539000,5,2,0,1,1,1,1,False,442,7,72,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1,,,
203,leeper_slopegraph,0,7,0,0,1385916462000,7,3,1,2,9,51,51,False,144,1,19,3.0,,,,,,,2,,,
204,jemus42_trakt,3,5,9,0,1404215301000,62,1,1,1,2,5,5,True,793,23,872,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8888888888888888,2.5272493292028115,1726.666666666667
208,sneumann_camera,2,4,7,9,1395953717000,119,0,2,3,1,3,3,False,4291,20,896,38.0,,,0.0,0.0,0.0,0.0,3,1.75,1.2576617236191705,3721.5
211,skranz_regtools,0,1,11,0,1408052811000,4,1,2,2,0,0,0,False,791,9,202,8.0,1.0,0.25,2.0,0.25,2.0,0.25,2,2.333333333333333,2.6782914099965884,1756.125
213,swedishpensionsagency_translater,0,4,0,0,1399446067000,2,1,1,1,1,2,2,True,261,7,88,3.0,,,,,,,1,,,
215,markusloecher_rgooglemaps,0,1,9,4,1398580016000,1,1,2,2,2,1,1,True,1117,26,257,213.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.4,3.9233600126091717,3138.6
217,shilab_meqtl_functions,1,11,2,1,1409760943000,4,1,1,1,0,1,1,False,305,4,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.4620573355817874,2372.0
227,ropensci_rfisheries,2,17,5,0,1320085744000,26,3,9,9,8,11,11,True,111,6,108,1.0,1.0,0.1111111111111111,5.0,0.1851851851851852,6.0,0.2222222222222222,9,1.8,2.7611187388856258,2277.0
233,mangothecat_pkgsnap,0,10,1,0,1448578491000,6,3,3,3,0,9,9,False,320,7,247,2.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,3,2.0,2.4620573355817874,2372.0
234,nonsleepr_teradatar,0,4,2,0,1375357753000,3,2,1,2,31,9,9,False,2812,89,84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,
237,ikuznet1_amen,0,2,5,2,1424590965000,1,1,1,1,0,0,0,True,255,7,129,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.2,2.2921444248374647,3029.0
243,wanghc78_valor,0,1,0,1,1409257184000,2,1,2,2,1,2,2,False,1545,3,363,0.0,,,,,,,2,,,
244,yiluheihei_nfp,0,1,12,5,1437374617000,4,2,0,1,2,0,0,False,469,8,410,2.0,0.0,0.0,0.0,0.0,1.0,0.05,1,2.0,2.4963199404834313,2274.3636363636365
245,poissonconsulting_rpdo,0,4,13,0,1440021428000,23,1,1,1,0,0,0,True,45,4,22,2.0,1.0,0.1,2.0,0.2,2.0,0.2,1,1.6153846153846154,3.9686107047788055,1046.7692307692307
246,eddelbuettel_inline,4,1,1,1,1409264695000,24,4,3,5,3,4,4,True,609,6,88,336.0,,,,,,,5,,,
250,murisonwardell_gaga,0,1,6,1,1386934102000,4,2,0,1,1,0,0,False,376,11,226,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,2.6290809464535823,2463.5
251,mkuzak_rintrobayarea,1,6,7,1,1422889729000,4,3,1,3,4,0,0,False,261,3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.142857142857143,2.231863002888207,2344.285714285714
252,zdk123_spieceasi,2,2,6,2,1398920200000,4,2,5,5,8,15,15,False,1096,9,416,2.0,0.0,0.0,1.0,0.1,1.0,0.08333333333333333,5,2.0,2.9530379874465926,2313.75
254,eriqande_snpcontam,2,3,10,5,1401084873000,2,2,2,2,0,0,0,False,1243,33,922,1.0,2.0,0.1111111111111111,0.0,0.0,2.0,0.1111111111111111,2,2.0,2.4566666990799124,2103.9
264,ramhiser_itertools2,18,29,3,0,1399663630000,11,1,4,5,2,7,7,True,679,34,1140,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.6666666666666667,1.3262791897115618,3102.0
265,jjellis_genomicvis,0,1,4,11,1431487289000,3,1,1,1,0,0,0,False,965,40,801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,4.0021935171016185,2017.666666666667
266,pavel-fibich_trader,0,2,1,0,1386921921000,13,1,1,1,3,1,1,True,1156,1,194,1.0,,,,,,,1,,,
269,aleksandar-spasojevic_bayesxshinyapp,1,0,10,1,1438175518000,11,1,0,1,0,0,0,False,981,15,271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.83786766521682,1729.666666666667
277,cysouw_qlcdata,0,1,5,0,1444928367000,6,1,2,2,0,0,0,True,832,11,210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.8,3.8027339807507032,1322.75
280,tammok_prisma,0,1,4,0,1352901834000,8,1,2,2,4,6,6,True,600,3,101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.6666666666666665,1.9348807221147644,3893.0
282,ropensci_rbhl,1,13,7,3,1311016882000,36,2,1,1,0,7,7,True,377,42,595,0.0,0.0,0.0,2.0,0.5,4.0,0.5,1,2.5,3.052859573803968,1525.666666666667
284,mslegrand_svgr,0,5,4,0,1420485789000,12,1,1,1,0,9,9,False,11628,30,8642,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6666666666666667,3.840953462013502,1398.666666666667
290,jgcri_jgcriutils,0,6,2,0,1442339008000,5,1,4,4,0,1,1,False,81,2,85,1.0,1.0,0.5,1.0,0.125,1.0,0.125,4,1.5,2.4620573355817874,1769.5
293,andersenlab_linkagemapping,0,1,14,0,1401918716000,7,4,1,1,0,0,0,False,655,5,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1818181818181817,1.8028461829656293,2864.9
294,cscheid_elephant,0,1,3,1,1361205285000,4,2,0,1,0,1,1,False,99,1,12,1.0,0.0,0.0,1.0,0.5,1.0,0.25,1,3.0,2.1942848594271096,2128.6666666666665
300,nolanlab_spade,50,69,2,3,1314648221000,35,4,83,84,12,18,18,False,1168,8,194,3.0,0.0,0.0,1.0,0.011904761904761904,1.0,0.011904761904761904,84,2.0,2.7063185041908446,3102.0
305,jrhammond_phoenixnet,0,1,6,1,1445104440000,5,2,2,2,0,4,4,False,820,16,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8.571428571428571,2.4448583806834625,2371.285714285714
307,dterror_minutiaer,0,1,3,0,1417448508000,3,2,1,1,0,0,0,False,44,3,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.4620573355817874,2372.0
311,sachsmc_tufterhandout,6,13,4,1,1403717590000,10,2,5,7,19,92,92,True,43,2,25,2.0,0.0,0.0,2.0,0.07142857142857142,2.0,0.07142857142857142,7,2.0,3.75528262633401,1642.0
317,beanumber_imdb,0,2,6,0,1434980710000,5,1,1,1,2,0,0,False,74,2,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,3.0027422303473497,547.0
318,gsee_financialinstrument,1,0,15,1,1357506599000,128,0,2,2,2,4,4,True,5563,53,4264,53.0,,,2.0,0.14285714285714285,2.0,0.14285714285714285,2,1.8888888888888888,1.7351519808607978,2812.625
322,rekyt_outlier,1,4,6,0,1449063490000,11,2,1,1,0,0,0,False,166,5,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6666666666666667,2.994047805711945,1702.833333333333
325,serbinsh_r-fieldspectra,0,11,6,1,1367846878000,13,1,2,3,8,6,6,False,2399,10,1358,0.0,0.0,0.0,2.0,0.2222222222222222,2.0,0.2222222222222222,3,1.6666666666666667,2.840743287285965,2493.6666666666665
326,paul-buerkner_brms,15,28,15,7,1434558571000,58,2,11,13,6,43,43,True,7903,25,4059,2.0,0.0,0.0,5.0,0.04807692307692308,5.0,0.04807692307692308,13,2.25,3.6467241010816553,2016.333333333333
328,pennekampster_bemovi,2,35,2,0,1407138147000,15,7,4,6,5,0,0,False,421,13,259,0.0,,,,,,,6,1.5,2.2945304183400714,2919.5
331,chgrl_rwikidata,1,1,2,0,1400066998000,2,2,0,2,1,8,8,False,330,6,187,0.0,1.0,0.5,1.0,0.5,1.0,0.5,2,1.5,1.7862176977290525,1733.5
332,dbottomly_poplite,0,1,7,2,1415302510000,24,2,0,2,0,0,0,True,1280,4,102,1.0,2.0,0.25,2.0,0.25,2.0,0.25,2,1.5,2.390067997779177,1674.5
335,henrikbengtsson_acne,1,2,8,1,1424671066000,27,1,1,1,0,0,0,True,938,26,861,0.0,6.0,1.0,6.0,1.0,6.0,1.0,1,4.0,4.539418212478921,2372.0
336,basille_basr,0,1,1,0,1400028213000,11,1,1,1,0,0,0,False,514,21,677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,5.11266747868453,1642.0
344,usgs-r_sbtools,12,168,3,0,1418062146000,110,6,10,10,9,5,5,False,846,56,1318,6.0,0.0,0.0,4.0,0.2,4.0,0.2,10,1.6666666666666667,2.7902909956604645,1398.666666666667
345,hadley_testthat,82,282,4,2,1251895904000,152,30,143,187,135,301,301,True,2159,53,1302,4745.0,12.0,0.13333333333333333,87.0,0.15508021390374332,89.0,0.15780141843971632,187,1.75,3.4439013617891625,1404.0
348,wush978_datataiwan,0,5,3,0,1447687283000,2,1,1,1,1,4,4,False,67,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6666666666666667,2.8593066187176013,790.3333333333335
350,lucasvenez_precintcon,0,7,2,0,1407240827000,5,1,2,2,1,1,1,True,1525,71,1448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.8304877368810817,2372.0
351,kmiddleton_zar5,0,3,1,0,1297803669000,5,1,1,1,0,1,1,False,173,14,454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,,2769.0
355,marclavielle_mlxr,2,6,7,2,1418129487000,38,4,7,7,0,4,4,True,8680,112,1708,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.75,2.403752673647728,2372.0
358,richfitz_drat.builder,10,8,6,2,1431727278000,6,2,3,3,1,3,3,False,507,4,119,1.0,1.0,0.125,4.0,0.3333333333333333,4.0,0.3333333333333333,3,1.3333333333333333,3.283704461866197,1123.8
361,projecttsinteger_tsintegerpackage,0,6,3,0,1446885928000,6,3,0,1,1,0,0,False,1706,6,267,0.0,,,,,,,1,1.6666666666666667,1.7257683215130024,3102.0
362,olli0601_rbeast,0,1,13,2,1429006460000,2,1,1,1,0,2,2,False,23557,16,1229,1.0,1.0,0.2,0.0,0.0,1.0,0.1,1,3.3,2.738748361994062,2633.5
363,lwjohnst86_mason,0,2,5,0,1446241957000,3,1,1,1,0,0,0,False,206,4,218,1.0,1.0,0.25,2.0,0.5,2.0,0.5,1,1.4,1.6994549424363905,1824.6
364,ropensci_ritis,0,1,2,0,1320209550000,20,2,2,2,1,5,5,True,1008,50,647,0.0,,,,,,,2,,,
369,flr_flbrp,1,7,6,2,1365760153000,14,2,3,4,1,0,0,False,2502,38,742,14.0,1.0,0.16666666666666666,1.0,0.08333333333333333,2.0,0.16666666666666666,4,1.5,1.1766602192134108,3018.75
370,tierneyn_ggmissing,0,12,4,0,1449731490000,3,3,2,3,1,3,3,False,114,6,112,0.0,0.0,0.0,1.0,0.08333333333333333,1.0,0.08333333333333333,3,1.75,3.640225330829789,1185.75
372,tjconstant_photonmonkey,0,2,7,1,1367762985000,15,2,2,3,1,0,0,False,697,35,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.7142857142857144,1.7886773113779622,2397.714285714286
373,dgrtwo_rparse,0,2,5,0,1428274444000,1,2,0,2,1,0,0,False,329,14,356,2.0,0.0,0.0,1.0,0.16666666666666666,1.0,0.16666666666666666,2,1.4,2.5922707245631598,1569.0
374,liteep_toypackage2,0,2,2,0,1437456791000,1,4,0,3,2,0,0,False,19,4,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.5,3.86883582619917,1642.0
375,statisticalservicescentre_climateobject,1,30,11,1,1425024561000,3,12,8,9,7,1,1,False,5329,66,2799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.6363636363636365,2.912147344456151,2009.909090909091
377,jbryer_qualtrics,1,4,3,2,1327591611000,2,1,4,5,10,14,14,False,285,5,148,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.0,4.0012180267965896,1642.0
383,willpearse_pez,17,44,13,1,1406150240000,29,3,5,5,4,6,6,True,3036,24,2862,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.6,2.995983455745844,2591.0
385,piccolbo_fixr,0,7,0,1,1424901175000,1,1,2,2,0,0,0,False,38,1,1,1.0,,,,,,,2,,,
387,ecology-rocks_makemyforests,0,12,4,1,1432254931000,6,1,1,1,0,0,0,False,356,21,561,2.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1,2.0,3.5054584540999483,2372.0
388,felixhaass_aiddata,0,8,6,0,1411935928000,3,1,1,1,0,2,2,False,130,1,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8333333333333333,4.840699285255581,1581.166666666667
389,davidgohel_rtable,0,2,6,1,1423098910000,15,1,3,3,1,16,16,True,812,16,167,3.0,1.0,0.2,1.0,0.06666666666666668,1.0,0.06666666666666668,3,1.4,3.2278848591562244,1204.0
393,rosehartman_frog-trap,0,3,8,2,1384992725000,2,3,2,4,2,1,1,False,1456,24,375,0.0,3.0,0.16666666666666666,5.0,0.20833333333333331,7.0,0.2916666666666667,4,2.2857142857142856,2.6298310401626948,2194.833333333333
