,project,dependencyProblems,nonDependencyProblems,cranDependencies,nonCranDependencies,createdAtMillis,descriptionChurn,sourceContributors,issueContributors,PRContributors,forksCount,watchersCount,starsCount,isCRAN,sourceLOC,soureceFiles,commentsCount,downstreamProjects,upstreamContributions,upstreamContributionsFraction,upstreamIssueContributions,upstreamIssueContributionsFraction,upstreamAllContributions,upstreamAllContributionsFraction,uniqueUsersAll,averageUpstreamVersion,averageUpstreamReleases,averageUpstreamAge
2246,xfim_ggmcmc,16,34,5,0,1350480639000,39,8,11,17,14,44,44,True,1044,21,623,64.0,1.0,0.03125,6.0,0.08823529411764706,7.0,0.10294117647058824,17,1.5,2.0208117485092467,1824.5
2249,storeylab_gcat,1,0,2,1,1415110978000,1,2,2,2,0,3,3,True,40,1,28,1.0,2.0,0.5,0.0,0.0,2.0,0.3333333333333333,2,2.0,2.8843233179749577,1414.0
2250,petrikemppainen_ldna,0,5,3,1,1395667012000,10,1,3,3,1,5,5,False,325,6,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.6666666666666665,3.766316555417648,2250.333333333333
2252,thelayc_laycenrollment,0,1,5,1,1424991296000,3,1,1,1,0,0,0,False,159,8,109,4.0,1.0,0.16666666666666666,1.0,0.16666666666666666,2.0,0.16666666666666666,1,2.2,2.166407254623052,1715.0
2260,polarise_malte,0,1,3,2,1368704456000,12,1,1,1,1,0,0,False,1320,13,317,0.0,,,,,,,1,2.0,4.706640876853642,3102.0
2261,ohdsi_ohdsisharing,0,1,2,2,1396636476000,2,2,1,1,1,2,2,False,134,5,225,2.0,4.0,1.0,1.0,0.5,4.0,1.0,1,,,
2264,hrbrmstr_iptools,7,18,11,4,1409315683000,46,4,5,6,10,10,10,True,159,10,531,1.0,7.0,0.2916666666666667,10.0,0.2777777777777778,13.0,0.30952380952380953,6,1.8571428571428568,4.522162057253432,1466.0
2265,gaborcsardi_tamper,1,5,2,0,1443716343000,2,3,1,3,3,36,36,False,216,4,137,1.0,3.0,0.5,5.0,0.8333333333333334,5.0,0.8333333333333334,3,2.0,2.4620573355817874,1636.0
2269,piccolbo_bettr,0,6,3,0,1425581588000,5,1,2,2,0,0,0,False,303,6,39,0.0,0.0,0.0,2.0,0.5,2.0,0.5,2,1.0,2.936914192855692,739.0
2270,ropengov_sotkanet,1,0,5,0,1387404561000,21,2,2,2,0,4,4,True,123,12,219,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,3.3969081547063222,2098.25
2276,santosneto_rbsmodels,0,1,5,0,1446570125000,4,1,1,1,0,0,0,False,896,7,1659,0.0,,,,,,,1,2.8,2.4558607350096717,3321.2
2278,hackout2_repijson,2,16,13,0,1430906285000,16,5,3,3,0,1,1,True,687,19,752,1.0,1.0,0.025,1.0,0.04166666666666666,1.0,0.025,3,1.6363636363636365,3.916416617425066,1873.6363636363642
